17	168	1
17	1013	2
17	1070	1
17	1202	1
17	1367	1
26	449	1
26	707	2
26	820	1
26	1346	5
26	1367	1
95	131	1
95	222	1
95	282	7
95	508	1
95	746	1
95	1271	2
95	1346	1
131	282	1
131	1346	1
168	282	1
168	508	1
168	1013	1
168	1314	1
168	1346	2
181	282	1
181	449	1
181	508	1
181	1180	3
181	1346	3
181	1367	1
222	282	4
222	508	1
222	631	1
222	746	1
222	1271	1
222	1314	1
227	282	3
227	508	1
227	1271	1
227	1302	1
227	1346	2
240	282	3
240	405	1
282	449	1
282	508	7
282	546	1
282	631	3
282	746	1
282	1013	1
282	1256	1
282	1271	1
282	1302	2
282	1305	3
282	1314	5
282	1346	2
282	1367	1
367	1367	1
405	546	1
405	1346	2
405	1367	1
449	508	1
449	631	2
449	820	1
449	1070	2
449	1346	5
449	1367	7
486	746	1
508	546	1
508	631	1
508	1051	1
508	1271	3
508	1305	1
508	1314	1
508	1346	3
508	1367	1
546	1051	1
546	1346	3
567	1346	2
631	820	1
631	1305	1
631	1314	1
631	1346	2
631	1367	1
707	1202	1
707	1346	5
746	1013	1
746	1346	2
746	1367	1
820	1070	3
820	1346	2
820	1367	1
1013	1051	1
1013	1070	1
1013	1305	1
1013	1346	1
1013	1367	1
1051	1070	1
1051	1346	3
1070	1346	1
1070	1367	1
1180	1346	1
1202	1346	1
1256	1346	1
1256	1367	1
1271	1305	1
1271	1346	1
1302	1305	1
1305	1346	2
1314	1346	2
1346	1367	5
