72	80	2
72	1629	1
72	2241	2
72	2423	2
72	2465	1
72	2751	6
72	3031	1
72	3194	2
72	3296	3
72	4511	1
72	5561	1
72	5594	1
72	6223	1
72	7511	2
72	9307	1
72	9635	1
72	10771	1
72	10877	4
72	10999	2
72	11740	1
72	11894	1
72	12104	1
72	12197	1
72	12212	1
72	12257	1
72	12276	1
72	12573	2
72	12583	1
72	12619	8
72	12795	1
72	13458	3
72	13553	1
80	589	1
80	1629	2
80	1976	1
80	2465	1
80	2751	6
80	3031	1
80	3194	1
80	3202	1
80	3296	1
80	3705	1
80	3758	1
80	4276	1
80	5594	1
80	6216	1
80	6223	1
80	7474	1
80	7856	1
80	11129	1
80	11894	1
80	12201	1
80	12573	1
80	12619	8
80	12795	6
80	13458	1
208	1528	2
208	1976	1
208	2487	1
208	2751	6
208	2880	3
208	3194	1
208	3202	1
208	3296	1
208	3867	1
208	4141	2
208	6223	1
208	8542	1
208	9307	1
208	10011	2
208	11796	2
208	12201	1
208	12619	4
208	12795	3
589	684	1
589	1107	1
589	1629	3
589	1856	1
589	2143	1
589	2423	5
589	2433	2
589	2487	1
589	2521	1
589	2523	1
589	2751	15
589	2880	1
589	3296	3
589	3705	1
589	4141	1
589	4154	1
589	4276	4
589	4296	1
589	4305	1
589	4511	1
589	4959	1
589	5442	1
589	5618	3
589	6216	1
589	6446	1
589	6643	1
589	6749	2
589	7842	1
589	9290	1
589	9307	1
589	9363	2
589	11129	2
589	11689	1
589	11703	1
589	11740	2
589	11894	4
589	12197	3
589	12201	1
589	12257	1
589	12619	15
589	12719	3
589	12795	5
589	13300	1
589	13529	1
589	13659	1
684	982	2
684	1107	2
684	2143	2
684	2423	2
684	2751	13
684	3194	1
684	3202	1
684	3296	3
684	3954	1
684	4511	1
684	5594	1
684	6446	1
684	6749	1
684	7183	1
684	7842	1
684	8029	1
684	10771	1
684	11894	2
684	12104	1
684	13553	1
982	1107	1
982	1528	4
982	1629	1
982	1838	2
982	2143	2
982	2369	1
982	2433	1
982	2751	15
982	3705	3
982	3867	1
982	4276	2
982	4305	1
982	5618	2
982	6216	1
982	6446	1
982	6643	1
982	7856	1
982	8542	1
982	9307	1
982	11894	2
982	12197	1
982	12212	1
982	12583	1
982	12619	7
982	12795	6
982	13659	2
982	13663	1
1069	1629	1
1069	2423	1
1069	2751	7
1069	3646	1
1069	3758	1
1069	4141	2
1069	4154	1
1069	4276	1
1069	4511	3
1069	6760	1
1069	8029	1
